alpha, NE1policy, NE2policy, NE1reward, NE2reward, RL1policy, RL1reward, RL2policy, RL2reward
0.05, 0.00267738668596211, 0.00253351751592039, 0.979032554281240, 0.952885492116419, 0.0032695539295673373, 0.9820206524182897, 0.0021801762282848357, 0.9428056233753129
0.1, 0.00529297789019373, 0.00529297789019373, 0.957203131116915, 0.957203131116915, 0.005195743218064309, 0.9521836088087565, 0.0059106312692165375, 0.9579674998585894
0.15, 0.00783261805461646, 0.00831269541502664, 0.934443847749744, 0.961652790007308, 0.008772747218608856, 0.9350085497999164, 0.008233799412846564, 0.95682376829256
0.2, 0.0102807975619535, 0.0116368752495802, 0.910661507852395, 0.966238368929872, 0.010712150484323502, 0.9123095143401004, 0.011411187797784807, 0.9646617557720314
0.25, 0.0126162740211957, 0.0153191538728936, 0.885759945573044, 0.970976589946125, 0.012962983548641206, 0.8820674283545441, 0.015857597813010216, 0.9700158009593552
0.3, 0.0148122383298056, 0.0194279652073301, 0.859623185930989, 0.975883948888283, 0.013932648301124574, 0.8562168125681467, 0.019957248866558076, 0.9777703069861066
0.35, 0.0168337079800766, 0.0240515858672822, 0.832113944625013, 0.980980337959343, 0.016795510053634645, 0.8294012635875055, 0.024506923556327817, 0.9810424971613323
0.4, 0.0186351019523610, 0.0293077590708408, 0.803059253019198, 0.986288779617358, 0.018767434358596805, 0.7970797811193204, 0.030400434136390687, 0.986092109090952
0.45, 0.0201514247401495, 0.0353507928179268, 0.772273341289932, 0.991842188985668, 0.018918079137802125, 0.7819711270668652, 0.03344698548316956, 0.9931921711860936
0.5, 0.0212946373786903, 0.0423989739069840, 0.739503939174453, 0.997678042297298, 0.022558566927909852, 0.7382260797094372, 0.04267432913184166, 0.9965266353911083
0.55, 0.0219352944703683, 0.0507642029820028, 0.704441739792651, 1.00384754791612, 0.020393891632556917, 0.7010422742222059, 0.05159915909171105, 1.0049880444510961
0.6, 0.0218817442337704, 0.0609141339263097, 0.666688880264516, 1.01041692847339, 0.02153536379337311, 0.6662488644347104, 0.061037345230579375, 1.0106228714553454
0.65, 0.0208258906224916, 0.0735888259517274, 0.625723591460929, 1.01748166762836, 0.019702138006687166, 0.6303737000223736, 0.07206999175250531, 1.0180020194859947
0.7, 0.0182449983903711, 0.0900483279180520, 0.580842602097651, 1.02518105385632, 0.018681849539279937, 0.5789845818503291, 0.09078868925571441, 1.025022923791678
0.75, 0.0131557899221265, 0.112667095961799, 0.531081521686569, 1.03373587491295, 0.011866175383329392, 0.5340644485503698, 0.11114828288555145, 1.0340708094463626
0.8, 0.00344074755724971, 0.146661591027510, 0.475158363966507, 1.04352867320529, 0.0, 0.47529087062070907, 0.14651602506637573, 1.0441301209527187
0.85, 0.0, 0.209901951359278, 0.408408431989484, 1.05397161386881, 0.0, 0.40875947619611464, 0.20946444422006608, 1.0539715180235654
